"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT05501704","ETHAN - ET for Male BC",,"Not yet recruiting","No Results Available","Male Breast Cancer|Hormone Receptor-positive Breast Cancer|Hormone Receptor Negative Breast Carcinoma","Drug: Tamoxifen|Drug: Anastrozole|Drug: Degarelix|Drug: Abemaciclib","Change in Ki-67|RCB index|Changes in estradiol levels|Changes in testosterone levels|Preoperative Endocrine Prognostic Index (PEPI) score","Jose Pablo Leone|Eli Lilly and Company|Translational Breast Cancer Research Consortium (TBCRC)|Dana-Farber Cancer Institute","Male","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","22-225","February 2023","April 1, 2026","April 1, 2036","August 15, 2022",,"August 15, 2022","Dana Farber Cancer Institute, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT05501704"
12,"NCT05501691","Effect of Diode Laser on Postoperative Sensitivity of NCCLs Composite Restorations",,"Recruiting","No Results Available","Dentin Hypersensitivity","Other: Placebo|Radiation: 445 nm Diode Laser Wavelength|Radiation: 660 nm Diode Laser Wavelength|Radiation: 970 nm Diode Laser Wavelength","To Clinically Assess Change in Dentin Hypersensitivity Between Baseline and After Exposure to Diode Laser Radiation.","Alexandria University","All","25 Years to 45 Years   (Adult)","Not Applicable","17","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care","0048-06/2022|IORG0008839","August 10, 2022","September 29, 2022","February 20, 2023","August 15, 2022",,"August 15, 2022","Dentistry, Alexandria, Egypt",,"https://ClinicalTrials.gov/show/NCT05501691"
13,"NCT05501678","Trial of Diphenhydramine for Sleep in Children With Autism",,"Not yet recruiting","No Results Available","Autism|Autism Spectrum Disorder","Drug: Diphenhydramine|Drug: Placebo","Change from baseline in sleep latency as measured by polysomnography (PSG)|Change from baseline in duration of non-rapid eye movement (NREM) sleep as measured by polysomnography (PSG)|Change from baseline in sleep efficiency as measured by polysomnography (PSG) and actigraphy","Stanford University|National Institutes of Health (NIH)","All","8 Years to 17 Years   (Child)","Phase 2","26","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB-66941","October 1, 2022","June 30, 2027","June 30, 2027","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501678"
14,"NCT05501665","Split Course Adaptive Radiation Therapy With Pembrolizumab With/Without Chemotherapy for Treating Stage IV Lung Cancer",,"Not yet recruiting","No Results Available","Lung Non-Small Cell Carcinoma|Stage IV Lung Cancer AJCC v8","Procedure: Biospecimen Collection|Drug: Carboplatin|Procedure: Computed Tomography|Other: Fludeoxyglucose F-18|Drug: Nab-paclitaxel|Biological: Pembrolizumab|Drug: Pemetrexed|Procedure: Positron Emission Tomography|Radiation: Radiation Therapy|Other: [18-F] (fluoropropyl)-L-glutamate (FSPG) PET scan","Incidence of adverse events|Best overall response rate|Progression free survival (PFS)|Overall survival|New metastasis free survival|Quantitative and qualitative markers of planning and treatment resource utilization","Vanderbilt-Ingram Cancer Center|National Cancer Institute (NCI)|Varian Medical Systems","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","25","Other|NIH|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","VICCTHOP2185|NCI-2022-05101|P30CA068485","September 1, 2022","October 1, 2025","October 1, 2026","August 15, 2022",,"August 15, 2022","Vanderbilt University/Ingram Cancer Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT05501665"
15,"NCT05501652","ALLEVIATE-HF-HD Study",,"Recruiting","No Results Available","Heart Failure","Device: ALV1System","Primary Safety Endpoint|Primary Efficacy Endpoint","Alleviant Medical, Inc.","All","40 Years and older   (Adult, Older Adult)","Phase 1","10","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CIP-0005","June 30, 2022","December 30, 2022","April 30, 2023","August 15, 2022",,"August 15, 2022","Tbilisi Heart and Vascular, Tbilisi, Georgia",,"https://ClinicalTrials.gov/show/NCT05501652"
16,"NCT05501639","Exacerbation Risk in Asthma",,"Completed","No Results Available","Asthma","Drug: tiotropium|Drug: long-acting β2-agonists (LABA)|Drug: inhaled corticosteroids (ICS)","Time to first severe exacerbation|Time to first moderate-or-severe exacerbation|Proportion of patients with exacerbation|Rate of exacerbation at 6 months and one year|Proportions of patients with Health care resource utilization (HCRU)|Mean monthly HCRU|Proportion of patients with use of rescue medications","Boehringer Ingelheim","All","12 Years and older   (Child, Adult, Older Adult)",,"1899","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","0205-0547","May 14, 2021","November 2, 2021","November 2, 2021","August 15, 2022",,"August 15, 2022","eMax Health, White Plains, New York, United States",,"https://ClinicalTrials.gov/show/NCT05501639"
17,"NCT05501626","Evaluation of Theta-burst Stimulation Efficacy, Safety and Tolerability in Major Depressive Episodes of Bipolar I Disorder",,"Active, not recruiting","No Results Available","Bipolar Disorder, Type 1","Device: Active Theta Burst Stimulation (TBS)|Device: Sham Theta Burst Stimulation (TBS)","Primary Outcome Measure","University of Sao Paulo","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","StudyTBS","July 10, 2022","August 2024","August 2024","August 15, 2022",,"August 15, 2022","Institute of Psychiatry, University of Sao Paulo, Sao Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT05501626"
18,"NCT05501613","Early Multimodal Neuromonitoring Foi Spontaneous ICH",,"Recruiting","No Results Available","Intracerebral Hemorrhage|Critically Ill|Intracranial Pressure|Cerebral Perfusion Pressure|Prognostic","Diagnostic Test: Multimodal Neuromonitoring","Survival|Funcional Outcome","Universidade do Porto","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","202201","January 2015","October 1, 2022","November 1, 2022","August 15, 2022",,"August 15, 2022","Centro Hospitalar Universitário de São João, Porto, Portugal",,"https://ClinicalTrials.gov/show/NCT05501613"
19,"NCT05501600","Neural Correlates of Lidocaine Analgesia","NeuCLA","Recruiting","No Results Available","Anesthesia|Pain","Device: Peripheral Nerve Stimulation|Drug: Lidocaine IV","Brain activation to painful stimulation difference: drug-free condition minus lower-dose lidocaine|Resting-state functional connectivity difference: drug-free minus lower-dose lidocaine|Brain activation to painful stimulation difference: drug-free condition minus higher-dose lidocaine|Resting-state functional connectivity difference: drug-free minus higher-dose lidocaine|Pain score difference, drug-free condition minus lower-dose lidocaine condition|Pain score difference, drug-free condition minus higher-dose lidocaine condition|Memory performance difference, drug-free minus lower-dose lidocaine condition|Memory performance difference, drug-free minus higher-dose lidocaine condition","Keith M. Vogt, MD, PhD|National Institute of General Medical Sciences (NIGMS)|University of Pittsburgh","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","30","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","STUDY21120115|R35GM146822","August 15, 2022","July 1, 2023","July 1, 2023","August 15, 2022",,"August 15, 2022","University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT05501600"
20,"NCT05501587","Measures of Respiratory Health Registry","MRH","Recruiting","No Results Available","Respiratory Disease|Cystic Fibrosis",,"To validate new lung function testing technologies","University of British Columbia","All","0 Years to 99 Years   (Child, Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","H18-00812","October 11, 2018","May 2028","May 2028","August 15, 2022",,"August 15, 2022","British Columbia Children's Hospital, Vancouver, British Columbia, Canada",,"https://ClinicalTrials.gov/show/NCT05501587"
21,"NCT05501574","An Open Label Trial Evaluating Tacrolimus Inhalation Powder in Adult Lung Transplant Recipients",,"Not yet recruiting","No Results Available","Lung Transplant Rejection","Drug: Tacrolimus Inhalation Powder","Number of participants experiencing Adverse Events, Serious Adverse Events, and withdrawals due to Adverse Events|Number of participants who experience laboratory test abnormalities|Number of participants who experience physical examination abnormalities|Number of participants who experience pulse oximetry abnormalities|Number of participants who experience vital sign abnormalities|Mean change from baseline in chest radiology|Mean change from baseline in blood serum creatinine|Mean change from baseline in estimated glomerular flow rate (eGFR)|Mean change from baseline in forced expiratory volume (FEV1)|Mean change from baseline in forced vital capacity (FVC)|Mean change from baseline in FEV1/FVC ratio|Number of participants meeting treatment stopping rules of acute allograft rejection|Change from baseline in FEV1 percent predicted|PK of tacrolimus in whole blood AUC0-6|PK of tacrolimus in whole blood AUClast|PK of tacrolimus in whole blood Cmax|PK of tacrolimus in whole blood Tmax|Incidence of all-cause mortality|Incidence of allograft-related mortality|Incidence of all-cause hospitalizations|Incidence of acute allograft-related hospitalizations","TFF Pharmaceuticals, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","24","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TFF-T2-001","September 15, 2022","December 31, 2024","December 31, 2024","August 15, 2022",,"August 15, 2022","St Vincent's Hospital, Darlinghurst, New South Wales, Australia|Prince Charles Hospital, Brisbane, Queensland, Australia|The Alfred Hospital, Melbourne, Victoria, Australia",,"https://ClinicalTrials.gov/show/NCT05501574"
22,"NCT05501561","Safety and Immunogenicity of Different Formulations of an MF59-Adjuvanted Influenza Vaccine in Older Adults ≥50 Years of Age",,"Not yet recruiting","No Results Available","Influenza, Human","Biological: Experimental: IIV-A Investigational IIV-A will be administered as a single dose intramuscularly on Day 1|Biological: Experimental: aIIV-B Investigational aIIV-B will be administered as a single dose intramuscularly on Day 1|Biological: Experimental: aIIV-C Investigational aIIV-C will be administered as a single dose intramuscularly on Day 1|Biological: Active Comparator: Licensed IIV IIV will be administered as a single dose intramuscularly on Day 1","Immunogenicity Endpoint: Hemagglutination inhibition (HI) titers against vaccine A and B influenza strains|The Percentage of Subjects with Solicited Local and Systemic Reactions|The Percentage of Subjects with Unsolicited Adverse Events|The Percentage of Subjects with Serious Adverse Events (SAEs), AEs Leading to Withdrawal, Adverse Events of Special Interest (AESI) and Medically Attended Adverse Events (MAAEs)|Immunogenicity Endpoint: Microneutralization (MN) titers against vaccine A and B influenza strains","Seqirus","All","50 Years and older   (Adult, Older Adult)","Phase 2","1000","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","V201_07","September 1, 2022","November 5, 2022","April 12, 2023","August 15, 2022",,"August 15, 2022","AMR Tempe, Tempe, Arizona, United States|Marvel Clinical Research, Huntington Beach, California, United States|California Research Center, San Diego, California, United States|The Lynn Institute of The Rockies, Colorado Springs, Colorado, United States|Clinical Research Consulting, LLC, Milford, Connecticut, United States|Innovative Research of West Florida, Inc., Clearwater, Florida, United States|Velocity Clinical Research - New Smyrna Beach, Edgewater, Florida, United States|CenExel RCA, Hollywood, Florida, United States|Health Awareness INC, Jupiter, Florida, United States|Global Health Research Center, Miami Lakes, Florida, United States|Precision Clinical Research, Sunrise, Florida, United States|Global Health Research Center, Tampa, Florida, United States|Platinum Research Network, LLC, Savannah, Georgia, United States|Meridian Clinical Research - Savannah, Savannah, Georgia, United States|AMR El Dorado, El Dorado, Kansas, United States|AMR Lexington, Lexington, Kentucky, United States|Meridian Clinical Research, Baton Rouge, Louisiana, United States|Meridian Clinical Research, Baton Rouge, Louisiana, United States|Medpharmics, LLC, Metairie, Louisiana, United States|Rockville Internal Medicine Group, Rockville, Maryland, United States|MedPharmics LLC, Biloxi, Mississippi, United States|Healthcare Research Network, Hazelwood, Missouri, United States|The Center for Pharmaceutical Research, Kansas City, Missouri, United States|Sundance Clinical Research, LLC, Saint Louis, Missouri, United States|Meridian Clinical Research, Bellevue, Nebraska, United States|Meridian Clinical Research, Grand Island, Nebraska, United States|Meridian Clinical Research, LLC, Lincoln, Nebraska, United States|Alliance for Multispecialty Research, LLC, Las Vegas, Las Vegas, Nevada, United States|Meridian Clinical Research (Binghamton, NY), Binghamton, New York, United States|Meridian Clinical Research, LLC, Endwell, New York, United States|Velocity Clinical Research - Syracuse, Syracuse, New York, United States|M3 Wake Research, Inc., Raleigh, North Carolina, United States|Meridian Clinical Research, LLC, Cincinnati, Ohio, United States|Meridian Clinical Research, LLC, Cincinnati, Ohio, United States|Aventiv Research, Inc. Columbus, Columbus, Ohio, United States|Lynn Health Science Institute, Oklahoma City, Oklahoma, United States|Velocity Clinical Research - Medford, Medford, Oregon, United States|Velocity Clinical Research, Gaffney, Gaffney, South Carolina, United States|Velocity Clinical Research - Greenville, Greenville, South Carolina, United States|Velocity Clinical Research, Spartanburg, Spartanburg, South Carolina, United States|Meridian Clinical Research - Dakota Dunes, Dakota Dunes, South Dakota, United States|AMR Coastal Clinical Research, Knoxville, Tennessee, United States|DM Clinical Research, Tomball, Texas, United States|JBR Clinical Research, Salt Lake City, Utah, United States|Velocity Clinical Research - West Jordan, West Jordan, Utah, United States",,"https://ClinicalTrials.gov/show/NCT05501561"
23,"NCT05501548","Phase II Study of PARP Inhibitor Olaparib and IV Ascorbate in Castration Resistant Prostate Cancer",,"Not yet recruiting","No Results Available","Prostate Cancer|Castration-resistant Prostate Cancer","Drug: Olaparib|Dietary Supplement: Vitamin C","PSA50 response|Safety and tolerability of olaparib in combination with IV ascorbic acid in patients with mCRPC|PSA doubling time in patients with mCRPC receiving olaparib in combination with IV ascorbic acid|Radiographic progression free survival (rPFS) of patients with mCRPC receiving olaparib in combination with IV ascorbic acid|PSA progression free survival (PSA PFS) of patients with mCRPC receiving olaparib in combination with IV ascorbic acid|Overall survival of patients with mCRPC receiving olaparib in combination with IV ascorbic acid","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|AstraZeneca|McGuff Pharmaceuticals, Inc.|The Marcus Foundation","Male","18 Years and older   (Adult, Older Adult)","Phase 2","15","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","J21127|IRB00292465|ESR 19-20448","September 2022","September 2027","September 2027","August 15, 2022",,"August 15, 2022","Sibley Memorial Hospital, Washington, District of Columbia, United States|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT05501548"
24,"NCT05501535","Refraction Changes After Using ND: YAG LASER In Treatment of Posterior Capsular Opacification In Pseudo Phakic Eye",,"Recruiting","No Results Available","Posterior Capsule Opacification","Device: ND:YAG LASER","objective refractive changes in sphere and cylinder refraction","Sohag University","All","40 Years to 70 Years   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","Soh-Med-22-08-05","October 1, 2021","October 1, 2022","November 1, 2022","August 15, 2022",,"August 15, 2022","Sohag university hospital, Sohag, Egypt",,"https://ClinicalTrials.gov/show/NCT05501535"
25,"NCT05501522","A Phase III Study to Assess the Safety, Reactogenicity, and Immunogenicity of Heterologous Booster Vaccination of a SARS-CoV-2 Recombinant Protein Nanoparticle Vaccine(GBP510) Adjuvanted With AS03 in Adults Aged 18 Years and Older",,"Not yet recruiting","No Results Available","COVID-19","Biological: GBP510 adjuvanted with AS03|Other: Placebo (Normal Saline)","Geometric Mean Titer(GMT) of neutralizing antibody to the SARS-CoV-2 measured by wild-type virus neutralization assays|GMFR of neutralizing antibody to SARS-CoV-2 measured by wild-type virus neutralization assay from baseline (Visit 2) to each subsequent time point post booster vaccination.|Percentage of participants with ≥4-fold rise in wild-type virus neutralizing antibody titer to SARS-CoV-2 from baseline (Visit 2) to each subsequent time point post booster vaccination.|GMT of SARS-CoV-2 RBD-binding IgG antibody measured by ELISA at each time point post booster vaccination|GMFR of SARS-CoV-2 RBD-binding IgG antibody measured by ELISA from baseline (Visit 2) to each subsequent time point post booster vaccination|Percentage of participants with ≥4-fold rise in ELISA SARS-CoV-2 RBD-binding IgG titer from baseline (Visit 2) to each subsequent time point post booster vaccination|Cell-mediated response for both Th1 and Th2 cytokines measured by Enzyme-Linked ImmunoSpot (ELISpot)/ FluoroSpot, and for both CD4+ and CD8+ T-cells measured by Fluorescence-activated cell sorting(FACS)|Occurrence of immediate systemic reactions in the 30 minutes post each vaccination|Occurrence of solicited local/systemic Adverse Events(AEs)|Occurrence of unsolicited AEs|Occurrence of Serious Adverse events(SAEs), Medically attended Adverse Events(MAAEs), AEs leading to study withdrawal, and Adverse Events of Special Interests(AESIs)","SK Bioscience Co., Ltd.|Coalition for Epidemic Preparedness Innovations|International Vaccine Institute|GlaxoSmithKline","All","18 Years and older   (Adult, Older Adult)","Phase 3","840","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","GBP510_004","September 2022","December 2022","December 2023","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501522"
